P1010_RECEIVER_USER_ID|P1010_CONTENT|P1010_RECOGNITION_CATEGORY_ID|P1010_RECOGNITION_SUBCATEGORY_ID|P1010_AWARD_ID|P1010_EXISTS_BLOB_IMAGE_YN|P1010_POST_HAS_DZ_IMAGES_Y|P1010_GIF_URL|P1010_REWARD_AMOUNT
"169"|"👍 Setting new standards with every effort!"|21|23|561|N|N||1
"169"|"👍 Your commitment makes a difference!"|22|25|22|N|N||0
"798"|"👍 Setting new standards with every effort!"|21|23|441|N|N||1
"140,798"|"👍 Consistent excellence in every task!"|22|25|21|N|N||3
"798"|"👍 Inspiring results and creativity!"|21|22|501|N|N||1
"140"|"👍 Setting new standards with every effort!"|43|61|481|N|N||4
"415"|"👍 Amazing performance recognized!"|22|25|42|N|N||2
"801"|"👍 Inspiring results and creativity!"|23|43|43|N|N||5
"801,798"|"👍 Great job on the project!"|22|26|42|N|N||5
"801"|"👍 Remarkable dedication observed!"|21|23|42|N|N||5
"801"|"👍 Continuous improvement is evident!"|21|22|521|N|N||0
"140"|"👍 Setting new standards with every effort!"|22|24|341|N|N||3
"169"|"👍 A shining example of teamwork!"|23|41|43|N|N||3
"801"|"👍 Going above and beyond expectations!"|22|24|400|N|N||4
"801"|"👍 Your performance is truly commendable!"|23|41|23|N|N||5
"801"|"👍 Your commitment makes a difference!"|21|22|400|N|N||0
"140,798"|"👍 Outstanding achievement by the team!"|22|24|1|N|N||1
"801,798"|"👍 Continuous improvement is evident!"|21|23|462|N|N||3
"140"|"👍 Setting new standards with every effort!"|23|42|21|N|N||0
"798,169"|"👍 Your hard work truly pays off!"|23|42|22|N|N||2
"140"|"👍 Exceptional skills displayed!"|22|26|400|N|N||3
"140"|"👍 Your commitment makes a difference!"|22|25|521|N|N||5
"415"|"👍 Brilliant execution and innovation!"|22|25|23|N|N||3
"801"|"👍 Amazing performance recognized!"|43|62|23|N|N||4
"798"|"👍 Continuous improvement is evident!"|23|42|400|N|N||0
"801"|"👍 Going above and beyond expectations!"|23|41|441|N|N||5
"140"|"👍 Outstanding achievement by the team!"|21|23|400|N|N||0
"415"|"👍 A shining example of teamwork!"|43|64|1|N|N||3
"801"|"👍 Your performance is truly commendable!"|22|26|521|N|N||3
"798"|"👍 Remarkable dedication observed!"|43|63|23|N|N||0
"169"|"👍 Your hard work truly pays off!"|43|62|561|N|N||4
"169"|"👍 Your performance is truly commendable!"|23|41|462|N|N||5
"801"|"👍 Remarkable dedication observed!"|21|23|21|N|N||3
"140"|"👍 Your commitment makes a difference!"|21|21|521|N|N||3
"801"|"👍 Continuous improvement is evident!"|43|64|47|N|N||3
"801"|"👍 Great job on the project!"|21|23|21|N|N||2
"140,798"|"👍 Outstanding achievement by the team!"|23|43|1|N|N||2
"140"|"👍 Setting new standards with every effort!"|21|21|23|N|N||4
"169,415"|"👍 Brilliant execution and innovation!"|43|63|441|N|N||2
"415"|"👍 Setting new standards with every effort!"|22|25|341|N|N||4
"415"|"👍 Brilliant execution and innovation!"|23|42|42|N|N||4
"140"|"👍 Your hard work truly pays off!"|21|23|400|N|N||0
"140"|"👍 Inspiring results and creativity!"|23|41|423|N|N||4
"169,415"|"👍 Amazing performance recognized!"|22|24|341|N|N||4
"415,801"|"👍 Remarkable dedication observed!"|23|42|23|N|N||2
"140"|"👍 Outstanding achievement by the team!"|21|23|22|N|N||3
"415"|"👍 Your commitment makes a difference!"|43|61|22|N|N||5
"415"|"👍 Consistent excellence in every task!"|43|62|43|N|N||0
"801,798"|"👍 Your hard work truly pays off!"|23|43|501|N|N||4
"801"|"👍 Remarkable dedication observed!"|43|61|23|N|N||2
