P1010_RECEIVER_USER_ID|P1010_CONTENT|P1010_RECOGNITION_CATEGORY_ID|P1010_RECOGNITION_SUBCATEGORY_ID|P1010_AWARD_ID|P1010_EXISTS_BLOB_IMAGE_YN|P1010_POST_HAS_DZ_IMAGES_Y|P1010_GIF_URL|P1010_REWARD_AMOUNT
"2381","2222","2266"|Test Post from Jmeter GUI with a user that can do normal post|2|2|253|N|N||0
"2537|""👏 Outstanding teamwork during the sprint!""|2|3|260|N|N||0"
"2361|""👏 Incredible dedication to customer service!""|2|2|262|N|N||0"
"2381|""👏 Fantastic leadership in the meeting!""|2|3|257|N|N||0"
"2222|""👏 Exceptional attention to detail!""|2|2|256|N|N||0"
"2536|""👏 Your support was invaluable!""|2|3|259|N|N||0"
"2266|""👏 Well-organized and efficient execution!""|2|2|261|N|N||0"
"2534|""👏 Great problem-solving skills!""|2|3|258|N|N||0"
"2533|""👏 You consistently go above and beyond!""|2|2|253|N|N||0"
"2441|""👏 Incredible work ethic!""|2|3|260|N|N||0"
"2535|""👏 Thank you for your continuous efforts!""|2|2|262|N|N||0"
"200|""👏 Your dedication is truly inspiring!""|2|3|257|N|N||0"
"2689|""👏 Well done on managing tight deadlines!""|2|2|256|N|N||0"
"2265|""👏 Your communication skills are top-notch!""|2|3|259|N|N||0"
"2688|""👏 Excellent initiative on the new feature!""|2|2|261|N|N||0"
"185|""👏 Your contributions make a big difference!""|2|3|258|N|N||0"
"198|""👏 You handled the situation perfectly!""|2|2|253|N|N||0"
"2532|""👏 Your positive attitude lifts the team!""|2|3|260|N|N||0"
"2531|""👏 You always bring innovative ideas!""|2|2|262|N|N||0"
"2690|""👏 Thanks for your dedication and hard work!""|2|3|257|N|N||0"
